,LotArea,OverallQual,MasVnrArea,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,LowQualFinSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,PoolArea,PoolQC,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,Regular_or_not,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,age,relative_year_built,total_FullBath,total_HalfBath,PORCH,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12
0,8450,7,196,Gd,3.0,706,150,856,5,0,1710,8,0,2,0,,0,2008,WD,Normal,208500,1.0,0,1,0,0,0,0,0,0,5,0.9492753623188406,3,1,61,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9600,6,0,Gd,3.0,978,284,1262,5,0,1262,6,1,2,0,,0,2007,WD,Normal,181500,1.0,1,1,0,0,0,0,0,0,31,0.7536231884057971,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,11250,7,162,Gd,3.0,486,434,920,5,0,1786,6,1,2,0,,0,2008,WD,Normal,223500,0.0,0,1,0,0,0,0,0,0,6,0.9347826086956522,3,1,42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,9550,7,0,TA,4.0,216,540,756,4,0,1717,7,1,3,0,,0,2006,WD,Abnorml,140000,0.0,0,1,0,0,0,0,0,0,36,0.3115942028985507,2,0,307,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,14260,8,350,Gd,3.0,655,490,1145,5,0,2198,9,1,3,0,,0,2008,WD,Normal,250000,0.0,0,1,0,0,0,0,0,0,8,0.927536231884058,3,1,84,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,14115,5,0,Gd,3.0,732,64,796,5,0,1362,5,0,2,0,,700,2009,WD,Normal,143000,0.0,0,1,0,0,0,0,0,0,14,0.8768115942028986,2,1,350,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,10084,8,186,Ex,3.0,1369,317,1686,5,0,1694,7,1,2,0,,0,2007,WD,Normal,307000,1.0,0,1,0,0,0,0,0,0,2,0.9565217391304348,3,0,57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7,10382,7,240,Gd,3.0,859,216,1107,5,0,2090,7,2,2,0,,350,2009,WD,Normal,200000,0.0,0,1,0,1,0,0,0,0,36,0.7318840579710145,3,1,432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,6120,7,0,TA,3.0,0,952,952,4,0,1774,8,2,2,0,,0,2008,WD,Abnorml,129900,1.0,0,1,0,0,0,0,0,0,58,0.427536231884058,2,0,205,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,7420,5,0,TA,3.0,851,140,991,5,0,1077,5,2,1,0,,0,2008,WD,Normal,118000,1.0,0,0,0,0,0,0,0,0,58,0.4855072463768116,2,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
